#1
double tab1(450,20)
41	44664.03	3	4	0	59.814643	58.22	52.9	42.3	990.8	51.65	154.5779894	140.7829019	295.3608912	0	0	60	100	5	12
42	44664.03	3	4	0	60.020375	58.3	49.9	42.3	985.9	49.6	154.3361363	141.1919418	295.5280781	0	0	60	100	5	8
43	44664.03	3	4	0	60.194553	58.26	47.4	41.8	964.5	48.2	155.1715001	140.790842	295.9623421	0	0	60	100	5	9
44	44664.03	3	4	0	60.285429	58.21	46.3	41.8	959.3	47.18	449.7563249	432.5732739	882.3295988	0	0	60	100	5	11
45	44664.03	3	4	0	60.314578	58.18	45.5	41.5	959.8	46.45	642.3116867	625.1132802	1267.424967	0	0	60	100	5	15
46	44664.03	3	4	0	60.206527	58.11	48.4	41.2	920.9	52.82	836.1227101	818.7465942	1654.869304	0	1	60	100	5	29
47	44664.03	3	4	0	59.863958	58.02	54.6	41.6	908	57.22	848.3928258	828.7550272	1677.147853	1	1	60	100	5	54
48	44664.03	3	4	0	59.429226	57.96	59.9	42.2	905.8	61.01	850.0063593	830.8775629	1680.883922	1	1	60	100	5	56
49	44664.03	3	4	0	59.161206	57.92	63.4	42.6	906.4	62.79	699.4761606	676.6805435	1376.156704	1	1	60	100	5	51
50	44664.03	3	4	0	59.067119	57.87	65.4	42.4	917	63.86	582.157166	558.9924616	1141.149628	1	1	60	100	5	44
51	44664.04	3	4	0	59.09693	57.91	65.5	42.1	933.4	62.47	576.1704041	555.2709146	1131.441319	0	1	60	100	5	36
52	44664.04	3	4	0	59.217062	57.92	64	41.8	946.8	61.7	575.2330393	554.410698	1129.643737	0	1	60	100	5	33
53	44664.04	3	4	0	59.375038	57.99	62.9	41.9	951.5	61.54	384.2922314	365.0975474	749.3897788	0	1	60	100	5	29
54	44664.04	3	4	0	59.509203	58.01	62.4	42.1	944.6	61.52	153.6282391	139.1825964	292.8108355	0	1	60	100	5	25
55	44664.04	3	4	0	59.662209	58.02	60.8	42.1	976.7	56.3	154.4224188	139.9967334	294.4191522	0	0	60	100	5	21
56	44664.04	3	4	0	59.83695	58.1	54.5	42.2	980.1	52.05	154.520486	140.208083	294.7285689	0	0	60	100	5	16
57	44664.04	3	4	0	60.043737	58.13	50.4	42	975.8	50.03	154.8259606	140.7502751	295.5762356	0	0	60	100	5	12
58	44664.04	3	4	0	60.240584	58.15	48.1	41.6	976.1	48.32	154.7929571	141.2516775	296.0446346	0	0	60	100	5	8
59	44664.04	3	4	0	60.373186	58.14	46.4	41.6	966.9	47.38	435.4228568	418.6586776	854.0815345	0	0	60	100	5	9
60	44664.04	3	4	0	60.442752	58.06	45.6	41.6	963.3	46.52	620.6384049	602.7859737	1223.424379	0	0	60	100	5	13
61	44664.04	3	4	0	60.326167	58	48.1	41.4	926	52.65	833.6797892	813.4863301	1647.166119	0	1	60	100	5	31
62	44664.04	3	4	0	59.969175	57.91	54.4	41.2	902.5	56.82	846.2402578	824.5941823	1670.83444	1	1	60	100	5	58
63	44664.04	3	4	0	59.506829	57.83	59.4	41.3	896.6	60.48	849.2682815	828.7862879	1678.054569	1	1	60	100	5	60
64	44664.04	3	4	0	59.152678	57.8	62.7	41.5	907.5	62.1	854.482464	834.6834767	1689.165941	1	1	60	100	5	61
65	44664.05	3	4	0	58.933502	57.79	64.7	41.7	915	63.22	775.7376922	751.6319651	1527.369657	1	1	60	100	5	56
66	44664.05	3	4	0	58.899223	57.78	65.7	42.2	924.6	64.36	586.5503968	561.7330322	1148.283429	1	1	60	100	5	49
67	44664.05	3	4	0	58.937434	57.82	66.1	41.8	927.1	63.41	579.9368708	556.680782	1136.617653	0	1	60	100	5	45
68	44664.05	3	4	0	59.019489	57.87	64.4	41.5	938.2	62.01	576.4681055	553.150498	1129.618603	0	1	60	100	5	38
