datetime,/x1ab_all/Processed Data/X1A/1A-El-Power Outlets,/x1ab_all/Processed Data/X1A/1A-Th-TotalHVAC,/x1ab_all/Processed Data/X1A/1A-Th-Chilled Water,/x1ab_all/Processed Data/X1A/1A-Th-Envelope,/x1ab_all/Processed Data/X1A/1A-RoomT,/x1ab_all/Processed Data/X1A/1A-Th-Hot Water,/x1ab_all/Processed Data/X1A/1A-El-Light,/x1ab_all/Processed Data/X1A/1A-SlabT
2019-12-01 00:00:00,0.44010221666666666,1511.734369712602,-0.31639493626876647,-1514.2571407376022,23.693838795833337,1056.455176523871,2.0826688083333336,23.561107274999998
2019-12-01 00:05:00,0.44201377499999983,1511.5230881520724,-0.36501016423555327,-1514.0604443770724,23.66955819166666,1055.5465103996414,2.095342450000001,23.541218999999995
2019-12-01 00:10:00,0.3809696333333334,1515.5755243565313,-0.3245235791447921,-1518.0546570231982,23.669728462499997,1060.162441227343,2.0981630333333334,23.53513353333334
2019-12-01 00:15:00,0.47098240833333327,1515.6760808441763,-0.3293999398136859,-1518.2274477275096,23.675209358333337,1060.0761768089899,2.080384475,23.547567791666665
2019-12-01 00:20:00,0.46646505000000005,1513.8548646260188,-0.4792140184712577,-1516.4025054426857,23.6550531625,1058.7040488278235,2.0811757666666666,23.532261175000013
2019-12-01 00:25:00,0.3740062833333334,1512.9298921723478,-0.5259746135890855,-1515.3881231723478,23.648665483333332,1058.4587256359368,2.0842247166666668,23.533580016666658
2019-12-01 00:30:00,0.4140082,1593.256060189573,-0.4249240071739208,-1595.7555862312397,23.618220620833334,1139.0162374884137,2.0855178416666664,23.534839066666667
2019-12-01 00:35:00,0.49062945000000013,1601.7629910674364,-0.548756661974551,-1604.3411574007696,23.6036036625,1147.3534018627442,2.087536883333333,23.54054608333332
2019-12-01 00:40:00,0.33697134166666676,1733.1257479885971,-0.5059702153747874,-1735.5505012219305,23.598091999999994,1278.6874202706385,2.087781891666667,23.535136766666657
2019-12-01 00:45:00,0.46068895833333323,1747.7499801427646,-0.49994670247881373,-1750.2962239344313,23.592554437500006,1293.5971774952434,2.085554833333333,23.53272860833334
2019-12-01 00:50:00,0.42902440833333333,1748.177341532028,-0.5435091292644207,-1750.7136900320284,23.59292616666666,1294.0866329946261,2.107324091666667,23.53776539166667
2019-12-01 00:55:00,0.48318951666666654,1741.8616951592746,-0.520767914724046,-1744.4346438342745,23.600707820833332,1287.8388993406654,2.089759158333333,23.54332258333333
2019-12-01 01:00:00,0.5378417416666667,1739.8998906111028,-0.4624484407870062,-1742.5213072361028,23.61015148333333,1285.6944416518897,2.083574883333333,23.539889049999996
2019-12-01 01:05:00,0.4065696916666666,1744.9479709261145,-0.5073823656879121,-1747.4407731427812,23.63624657916666,1290.6355191418022,2.0862325250000002,23.53011729166666
2019-12-01 01:10:00,0.45727816666666676,1740.115906196452,-0.3651617858870109,-1742.6584022881186,23.65639690416667,1285.856686182339,2.085217925,23.54084350833334
2019-12-01 01:15:00,0.37265934166666653,1734.594070882559,-0.3746882780282032,-1737.0540504408925,23.668718466666665,1279.909183302254,2.087320216666667,23.533136858333332
2019-12-01 01:20:00,0.4486821416666667,1724.8381574742998,-0.31158589628729916,-1727.373938782633,23.671053125,1270.3289545539205,2.087099166666667,23.522918249999993
2019-12-01 01:25:00,0.44601495833333343,1721.3667327023104,-0.3129979336580304,-1723.9001169106436,23.702039266666667,1266.877675627635,2.08736925,23.539429191666667
2019-12-01 01:30:00,0.3895097666666666,1700.029549112262,-0.43276695372937646,-1702.5057365872622,23.69130648333333,1245.7465810743247,2.086677708333333,23.529032325000003
2019-12-01 01:35:00,0.44396058333333327,1589.4801377520848,-0.5003030246904591,-1592.0177335104183,23.694775412499993,1135.9154888601088,2.093635175,23.52914726666667
2019-12-01 01:40:00,0.5119567166666666,1586.9883784454303,-0.4416432438092337,-1589.588908387097,23.69063088333333,1133.0633818059061,2.0885732249999998,23.53638476666667
2019-12-01 01:45:00,0.41878041666666677,1591.4590571471763,-0.4320670339251616,-1593.9700274138431,23.676732216666668,1137.2361503977684,2.0921898499999996,23.536736599999998
2019-12-01 01:50:00,0.3657115416666666,1590.3229576913648,-0.45439507207009394,-1592.7765810830315,23.6742409875,1135.6145284051017,2.08791185,23.526548016666663
2019-12-01 01:55:00,0.419272425,1601.6577845427614,-0.4377642532294525,-1604.1614122510948,23.683781379166668,1146.8014404959908,2.084355283333333,23.541327975000005
2019-12-01 02:00:00,0.3846350083333336,1613.4103629339868,-0.38415679424522386,-1615.8728195256535,23.68643177916666,1157.2446081532319,2.0778215833333338,23.538294450000006
2019-12-01 02:05:00,0.45674365833333336,1613.1461542492025,-0.29031742251834014,-1615.6844233575357,23.700464591666666,1157.210106305054,2.0815254499999996,23.540729008333333
2019-12-01 02:10:00,0.43429170833333325,1605.7678372202859,-0.3503474948310487,-1608.2898495286192,23.71316760833333,1150.2844751734503,2.0877206,23.53958669999999
2019-12-01 02:15:00,0.4366911833333334,1612.396509023094,-0.3102333103938583,-1614.915160848094,23.715778204166664,1156.5871802251547,2.081960641666667,23.54088849166666
2019-12-01 02:20:00,0.4494389083333333,1606.8438724820846,-0.3609609004723182,-1609.3762836570845,23.717816245833333,1151.2531427742235,2.0829722666666663,23.536122141666667
2019-12-01 02:25:00,0.4337378666666666,1613.8456091799953,-0.2365338583264763,-1616.3663001383288,23.71944037083334,1158.1504243883219,2.0869530916666665,23.52889730833333
