,time,VAV: Core Zone Discharge Air Temperature,AHU: Outdoor Air Damper Position,VAV Core Zone Cooling SP,Diffuse Horizontal Solar Irradiation,VAV: North zone Q,VAV North Zone Heating SP,VAV: North Zone Reheat Control Signal,VAV: South Zone Room Air Temperature,VAV: South Zone Reheat Control Signal,VAV: South Zone Damper Control Signal,VAV North Zone Cooling SP,VAV: North Zone Airflow Rate,VAV: Core Zone Reheat Control Signal,AHU: Supply Air Temperature,Direct Normal Solar Irradiation,AHU:Cooling Coil Load,AHU: Cooling coil Load,VAV: North Zone Damper Control Signal,VAV: Core zone Q,AHU: Supply Fan Power,AHU: RAT,VAV: South Zone Discharge Air Temperature,VAV: Core Zone Airflow Rate,VAV: South Zone Airflow Rate,VAV: North Zone Room Air Temperature,AHU: Return Air Damper Position,VAV South Zone Heating SP,VAV Core Zone Heating SP,VAV: South zone Q,VAV: Core Zone Room Air Temperature,AHU: Supply Fan Airflow Rate,VAV: Core Zone Damper Control Signal,AHU: MAT,VAV South Zone Cooling SP,VAV: North Zone Discharge Air Temperature,Global Horizontal Solar Irradiation,Outdoor Air Temperature
24,19185600.0,55.03965,1.0,80.06002,0.3,54.22467,60.08001,0.0,64.26388,0.0,0.2625,80.06002,69.49934,0.0,52.592003,0.4,599.5635,599.5635,0.3,54.22467,35.862125,65.35268,55.039703,69.49934,108.98727,66.344574,0.0,60.08001,60.08001,85.0354,66.30859,364.55185,0.3,55.88021,80.06002,55.03965,0.50308645,55.87999
26,19185720.0,55.039703,1.0,80.06002,0.3,54.435265,60.08001,0.0,64.169174,0.0,0.2625,80.06002,69.49934,0.0,52.5825,0.4,599.88727,599.88727,0.3,54.435265,35.862125,65.285,55.039703,69.49934,108.98727,66.29739,0.0,60.08001,60.08001,85.36549,66.26399,364.55185,0.3,55.87422,80.06002,55.039703,0.50297874,55.874004
28,19185840.0,55.039703,1.0,80.06002,0.3,54.625923,60.08001,0.0,64.12221,0.0,0.2625,80.06002,69.49934,0.0,52.57393,0.4,600.0653,600.0653,0.3,54.625923,35.862125,65.25198,55.039757,69.49934,108.98727,66.27756,0.0,60.08001,60.08001,85.66435,66.24597,364.55185,0.3,55.86818,80.06002,55.039703,0.50264,55.86802
30,19185900.0,55.039757,1.0,80.06002,0.3,54.714508,60.08001,0.0,64.07541,0.0,0.2625,80.06002,69.49934,0.0,52.569923,0.4,600.10266,600.10266,0.3,54.714508,35.86212,65.21892,55.039757,69.49934,108.98727,66.254,0.0,60.08001,60.08001,85.80321,66.22334,364.55185,0.3,55.865215,80.06002,55.039757,0.50237656,55.864998
33,19185960.0,55.039757,1.0,80.06002,0.3,54.79896,60.08001,0.0,64.03003,0.0,0.2625,80.06002,69.49934,0.0,52.56608,0.4,600.107,600.107,0.3,54.79896,35.862125,65.18613,55.039757,69.49934,108.987274,66.23153,0.0,60.08001,60.08001,85.935585,66.20264,364.55185,0.3,55.862194,80.06002,55.039757,0.5020464,55.86203
34,19186080.0,55.039757,1.0,80.06002,0.3,54.95648,60.08001,0.0,63.985924,0.0,0.2625,80.06002,69.49934,0.0,52.55899,0.4,600.02,600.02,0.3,54.95648,35.862125,65.15492,55.03981,69.49934,108.987274,66.21258,0.0,60.08001,60.08001,86.1825,66.18555,364.55185,0.3,55.85621,80.06002,55.039757,0.50117433,55.855988
36,19186200.0,55.03981,1.0,80.06002,0.3,55.10038,60.08001,0.0,63.896164,0.0,0.2625,80.06002,69.499344,0.0,52.552505,0.4,599.81067,599.81067,0.3,55.10038,35.86213,65.09071,55.03981,69.499344,108.987274,66.167534,0.0,60.08001,60.08001,86.40807,66.143364,364.55188,0.3,55.85022,80.06002,55.03981,0.5,55.85
38,19186320.0,55.03981,1.0,80.06002,0.29913333,55.2324,60.08001,0.0,63.85469,0.0,0.2625,80.06002,69.499344,0.0,52.54652,0.39956668,599.48364,599.48364,0.3,55.2324,35.86213,65.06121,55.03981,69.499344,108.98728,66.14946,0.0,60.08001,60.08001,86.61501,66.12716,364.55188,0.3,55.844177,80.06002,55.03981,0.4978874,55.84401
40,19186440.0,55.03981,1.0,80.06002,0.29662222,55.3541,60.08001,0.0,63.76719,0.0,0.2625,80.06002,69.49935,0.0,52.541027,0.3983111,599.04236,599.04236,0.3,55.3541,35.86213,64.99864,55.039867,69.49935,108.98729,66.10541,0.0,60.08001,60.08001,86.80579,66.08601,364.55194,0.3,55.83819,80.06002,55.03981,0.49429926,55.838024
42,19186500.0,55.03981,1.0,80.06002,0.29479167,55.411533,60.08001,0.0,63.748123,0.0,0.2625,80.06002,69.499344,0.0,52.538445,0.39739582,598.7797,598.7797,0.3,55.411533,35.86213,64.98474,55.039867,69.499344,108.98728,66.09722,0.0,60.08001,60.08001,86.89583,66.07921,364.55188,0.3,55.83522,80.06002,55.03981,0.49199075,55.835003
