datetime,Unnamed: 0,time,VAV: Core Zone Discharge Air Temperature,AHU: Outdoor Air Damper Position,VAV Core Zone Cooling SP,VAV: North zone Q,VAV North Zone Heating SP,VAV: North Zone Reheat Control Signal,VAV: South Zone Room Air Temperature,VAV: South Zone Reheat Control Signal,VAV: South Zone Damper Control Signal,VAV North Zone Cooling SP,VAV: North Zone Airflow Rate,VAV: Core Zone Reheat Control Signal,AHU: Supply Air Temperature,AHU:Cooling Coil Load,AHU: Cooling coil Load,VAV: North Zone Damper Control Signal,VAV: Core zone Q,AHU: Supply Fan Power,AHU: RAT,VAV: South Zone Discharge Air Temperature,VAV: Core Zone Airflow Rate,VAV: South Zone Airflow Rate,VAV: North Zone Room Air Temperature,AHU: Return Air Damper Position,VAV South Zone Heating SP,VAV Core Zone Heating SP,VAV: South zone Q,VAV: Core Zone Room Air Temperature,AHU: Supply Fan Airflow Rate,VAV: Core Zone Damper Control Signal,AHU: MAT,VAV South Zone Cooling SP,VAV: North Zone Discharge Air Temperature,Outdoor Air Temperature,datetime
2021-08-11 04:00:00,214,19195080.0,55.039925,1.0,80.06002,56.504753,60.08001,0.0,61.112946,0.0,0.2625,80.06002,69.499725,0.0,52.48906,776.5713,776.5713,0.3,56.504753,35.86237,62.987595,55.039925,69.499725,108.987946,64.58056,0.0,60.08001,60.08001,88.60999,64.74508,364.55386,0.3,57.744812,80.06002,55.039925,57.7447,2021-08-11 04:13:00
2021-08-11 04:15:00,232,19196040.0,55.03981,1.0,80.06002,57.63865,60.08001,0.0,60.94815,0.0,0.2625,80.06002,69.49971,0.0,52.43792,742.107,742.107,0.3,57.63865,35.86236,62.852577,55.03981,69.49971,108.987915,64.46031,0.0,60.08001,60.08001,90.38852,64.64444,364.55374,0.3,57.526512,80.06002,55.03981,57.525032,2021-08-11 04:29:00
2021-08-11 04:30:00,250,19196880.0,55.03981,1.0,80.06002,58.905254,60.08001,0.0,60.835155,0.0,0.2625,80.06002,69.49967,0.0,52.380627,688.2225,688.2225,0.3,58.905254,35.862335,62.757324,55.03981,69.49967,108.987854,64.37204,0.0,60.08001,60.08001,92.374794,64.57259,364.5536,0.3,57.098923,80.06002,55.03981,57.097,2021-08-11 04:43:00
2021-08-11 04:45:00,268,19197840.0,55.039978,1.0,80.06002,59.482056,60.08001,0.0,60.6786,0.0,0.2625,80.06002,69.49963,0.0,52.354534,624.949,624.949,0.3,59.482056,35.86231,62.6323,55.039978,69.49963,108.98778,64.261955,0.0,60.08001,60.08001,93.278625,64.4819,364.55334,0.3,56.62602,80.06002,55.039978,56.624702,2021-08-11 04:59:00
2021-08-11 05:00:00,287,19198680.0,55.0402,1.0,80.06002,58.587345,60.08001,0.0,60.518257,0.0,0.2625,80.06002,69.49962,0.0,52.39485,591.99054,591.99054,0.3,58.587345,35.862297,62.507988,55.0402,69.49962,108.98775,64.15726,0.0,60.08001,60.08001,91.87456,64.39456,364.55325,0.3,56.46897,80.06002,55.0402,56.46913,2021-08-11 05:13:00
2021-08-11 05:15:00,308,19199640.0,55.040417,1.0,77.899994,56.074593,64.04003,0.018857868,60.855644,0.354947,0.2625,77.899994,69.499626,0.0,52.508453,601.3189,601.3189,0.3,56.074593,35.8623,62.613842,67.016174,69.499626,108.98776,64.05541,0.0,64.04003,64.04003,504.8422,64.31244,364.5533,0.3,56.70259,77.899994,55.040417,56.70391,2021-08-11 05:29:00
2021-08-11 05:30:00,326,19200480.0,55.04036,1.0,77.899994,53.950787,64.04003,0.024085121,61.45797,0.47167802,0.2625,77.899994,69.499664,0.0,52.604473,640.7646,640.7646,0.3,53.950787,35.862324,62.858013,71.811485,69.499664,108.98783,63.981583,0.0,64.04003,64.04003,667.7453,64.257126,364.5535,0.3,57.078323,77.899994,55.04036,57.08003,2021-08-11 05:43:00
2021-08-11 05:45:00,344,19201440.0,55.040802,1.0,77.899994,48.714592,64.04003,0.036002554,62.266235,0.5571518,0.34679893,77.899994,69.4548,0.0,52.839912,761.82983,761.82983,0.3,48.714592,41.568577,63.057854,72.96318,69.4548,141.5251,63.886772,0.0,64.04003,64.04003,907.75977,64.18324,412.2564,0.3,57.553482,77.899994,55.040802,57.554855,2021-08-11 05:59:00
2021-08-11 06:00:00,364,19202280.0,55.04003,1.0,77.899994,46.101974,64.04003,0.051516324,62.995068,0.5896166,0.39468443,77.899994,69.46933,0.0,52.871716,872.3307,872.3307,0.3,48.016544,46.026325,63.384422,73.00246,69.46933,161.04199,63.793938,0.0,64.04003,64.04003,1033.3606,64.10573,440.99298,0.3,57.885162,77.899994,54.95044,57.885986,2021-08-11 06:13:00
2021-08-11 06:15:00,397,19203240.0,66.20791,1.0,77.0,351.45523,66.91998,0.3533825,64.60638,0.82650226,0.74409086,77.0,69.38548,0.28659782,53.326275,1225.0197,1225.0197,0.3,285.36285,85.098755,64.50546,75.73047,69.38548,298.69324,64.07475,0.0,66.91998,66.91998,2133.4126,64.319855,643.1384,0.3,58.119995,77.0,69.19415,58.120377,2021-08-11 06:29:00
