,time,AHU: MAT,AHU: RAT,VAV: Core Zone Discharge Air Temperature,VAV: North Zone Discharge Air Temperature,VAV: South Zone Discharge Air Temperature,VAV: Core Zone Airflow Rate,VAV: North Zone Airflow Rate,VAV: South Zone Airflow Rate,Outdoor Air Temperature,AHU: Supply Air Temperature,AHU: Outdoor Air Damper Position,AHU: Return Air Damper Position,VAV: Core Zone Room Air Temperature,VAV Core Zone Cooling SP,VAV: Core Zone Reheat Control Signal,VAV: Core Zone Damper Control Signal,VAV: North Zone Room Air Temperature,VAV North Zone Cooling SP,VAV: North Zone Reheat Control Signal,VAV: North Zone Damper Control Signal,VAV: South Zone Room Air Temperature,VAV South Zone Cooling SP,VAV: South Zone Reheat Control Signal,VAV: South Zone Damper Control Signal,AHU:Cooling Coil Load,AHU: Cooling coil Load,VAV:Core zone Q,AHU: Supply Fan Power,AHU: Supply Fan Airflow Rate,VAV:North zone Q,VAV:South zone Q,faulty
30,19185900.0,55.865215,63.087135,55.06041,55.06041,55.06041,69.50155,69.50155,108.99117,55.864998,55.06041,1.0,0.0,64.68987,299.85,0.0,0.3,64.498985,299.85,0.0,0.3,61.190895,299.85,0.0,0.2625,222.12558,222.12558,0.0,70.947044,364.5633,0.0,0.0,0
33,19185960.0,55.862194,62.979412,55.057777,55.057777,55.057777,69.50155,69.50155,108.99117,55.86203,55.057777,1.0,0.0,64.631645,299.85,0.0,0.3,64.431145,299.85,0.0,0.3,61.028572,299.85,0.0,0.2625,221.94838,221.94838,0.0,70.94705,364.5633,0.0,0.0,0
34,19186080.0,55.85621,63.143166,55.052887,55.052887,55.052887,69.50156,69.50156,108.99118,55.855988,55.052887,1.0,0.0,64.73107,299.85,0.0,0.3,64.52876,299.85,0.0,0.3,61.300095,299.85,0.0,0.2625,221.5221,221.5221,0.0,70.94706,364.56332,0.0,0.0,0
36,19186200.0,55.85022,62.91877,55.04844,55.04844,55.04844,69.501564,69.501564,108.991196,55.85,55.04844,1.0,0.0,64.59198,299.85,0.0,0.3,64.37956,299.85,0.0,0.3,60.947327,299.85,0.0,0.2625,221.00342,221.00342,0.0,70.94707,364.5634,0.0,0.0,0
38,19186320.0,55.844177,63.083565,55.04432,55.04432,55.044373,69.501564,69.501564,108.9912,55.84401,55.04432,1.0,0.0,64.691795,299.85,0.0,0.3,64.47789,299.85,0.0,0.3,61.220776,299.85,0.0,0.2625,220.39551,220.39551,0.0,70.947075,364.5634,0.0,0.0,0
40,19186440.0,55.83819,62.860542,55.04058,55.04058,55.04058,69.50158,69.50158,108.99123,55.838024,55.04058,1.0,0.0,64.553696,299.85,0.0,0.3,64.32991,299.85,0.0,0.3,60.86965,299.85,0.0,0.2625,219.70033,219.70033,0.0,70.94709,364.56345,0.0,0.0,0
42,19186500.0,55.835167,62.94816,55.03877,55.03877,55.03877,69.50158,69.50158,108.99123,55.835003,55.03877,1.0,0.0,64.6156,299.85,0.0,0.3,64.38681,299.85,0.0,0.3,61.021317,299.85,0.0,0.2625,219.32037,219.32037,0.0,70.94709,364.56345,0.0,0.0,0
44,19186560.0,55.8322,63.026215,55.037064,55.037064,55.037064,69.50158,69.50158,108.99123,55.83204,55.037064,1.0,0.0,64.65401,299.85,0.0,0.3,64.429,299.85,0.0,0.3,61.144478,299.85,0.0,0.2625,218.9189,218.9189,0.0,70.94709,364.56345,0.0,0.0,0
46,19186680.0,55.826214,62.804237,55.033714,55.033714,55.033768,69.50159,69.50159,108.99125,55.825996,55.033714,1.0,0.0,64.51662,299.85,0.0,0.3,64.28195,299.85,0.0,0.3,60.794945,299.85,0.0,0.2625,218.05127,218.05127,0.0,70.947105,364.56354,0.0,0.0,0
49,19186800.0,55.82017,62.970623,55.030586,55.030586,55.03064,69.501595,69.501595,108.99125,55.820007,55.030586,1.0,0.0,64.61742,299.85,0.0,0.3,64.38176,299.85,0.0,0.3,61.0707,299.85,0.0,0.2625,217.09674,217.09674,0.0,70.94711,364.56354,0.0,0.0,0
50,19186920.0,55.814186,62.749634,55.02762,55.02762,55.02762,69.5016,69.5016,108.991264,55.81402,55.02762,1.0,0.0,64.48053,299.85,0.0,0.3,64.23537,299.85,0.0,0.3,60.722763,299.85,0.0,0.2625,216.05382,216.05382,0.0,70.94712,364.56357,0.0,0.0,0
52,19187040.0,55.808197,62.916626,55.024704,55.024704,55.024704,69.5016,69.5016,108.991264,55.80803,55.024704,1.0,0.0,64.58177,299.85,0.0,0.3,64.33589,299.85,0.0,0.3,60.999344,299.85,0.0,0.2625,214.92038,214.92038,0.0,70.94712,364.56357,0.0,0.0,0
54,19187100.0,55.805176,62.801376,55.023277,55.023277,55.023277,69.50161,69.50161,108.99128,55.805008,55.023277,1.0,0.0,64.50151,299.85,0.0,0.3,64.25536,299.85,0.0,0.3,60.811478,299.85,0.0,0.2625,214.31888,214.31888,0.0,70.94713,364.5636,0.0,0.0,0
57,19187160.0,55.802208,62.696514,55.02185,55.02185,55.02185,69.50161,69.50161,108.99128,55.801987,55.02185,1.0,0.0,64.44531,299.85,0.0,0.3,64.189995,299.85,0.0,0.3,60.65284,299.85,0.0,0.2625,213.69365,213.69365,0.0,70.947136,364.5636,0.0,0.0,0
58,19187280.0,55.796165,62.864,55.01905,55.01905,55.01905,69.50161,69.50161,108.99128,55.796,55.01905,1.0,0.0,64.54705,299.85,0.0,0.3,64.29123,299.85,0.0,0.3,60.930023,299.85,0.0,0.2625,212.37038,212.37038,0.0,70.947136,364.5636,0.0,0.0,0
60,19187400.0,55.790176,62.644714,55.016247,55.016247,55.016247,69.50162,69.50162,108.9913,55.790016,55.016247,1.0,0.0,64.41087,299.85,0.0,0.3,64.145775,299.85,0.0,0.3,60.585,299.85,0.0,0.2625,210.94676,210.94676,0.0,70.94714,364.56366,0.0,0.0,0
62,19187520.0,55.78419,62.812695,55.013443,55.013443,55.013443,69.50162,69.50162,108.99129,55.784027,55.013443,1.0,0.0,64.51305,299.85,0.0,0.3,64.24762,299.85,0.0,0.3,60.86268,299.85,0.0,0.2625,209.4186,209.4186,0.0,70.94714,364.56366,0.0,0.0,0
64,19187640.0,55.778206,62.594177,55.010643,55.010643,55.010643,69.50162,69.50162,108.9913,55.777985,55.010643,1.0,0.0,64.37715,299.85,0.0,0.3,64.10243,299.85,0.0,0.3,60.518967,299.85,0.0,0.2625,207.78127,207.78127,0.0,70.94715,364.5637,0.0,0.0,0
67,19187700.0,55.775185,62.683167,55.009163,55.009163,55.009216,69.50162,69.50162,108.99131,55.775017,55.009163,1.0,0.0,64.44026,299.85,0.0,0.3,64.16104,299.85,0.0,0.3,60.672173,299.85,0.0,0.2625,206.92012,206.92012,0.0,70.94715,364.5637,0.0,0.0,0
68,19187760.0,55.772217,62.762596,55.007732,55.007732,55.007732,69.50162,69.50162,108.9913,55.771996,55.007732,1.0,0.0,64.47976,299.85,0.0,0.3,64.20488,299.85,0.0,0.3,60.797142,299.85,0.0,0.2625,206.02979,206.02979,0.0,70.94714,364.56366,0.0,0.0,0
70,19187880.0,55.766174,62.54474,55.00477,55.00477,55.00477,69.50162,69.50162,108.99131,55.766006,55.00477,1.0,0.0,64.34408,299.85,0.0,0.3,64.05997,299.85,0.0,0.3,60.454697,299.85,0.0,0.2625,204.15887,204.15887,0.0,70.94715,364.5637,0.0,0.0,0
72,19188000.0,55.760185,62.7136,55.001747,55.001747,55.001747,69.50162,69.50162,108.9913,55.76002,55.001747,1.0,0.0,64.447075,299.85,0.0,0.3,64.162964,299.85,0.0,0.3,60.7332,299.85,0.0,0.2625,202.19534,202.19534,0.0,70.94715,364.56366,0.0,0.0,0
74,19188120.0,55.75859,62.496452,55.000317,55.000317,55.000317,69.50162,69.50162,108.9913,55.758648,55.000317,1.0,0.0,64.311615,299.85,0.0,0.3,64.01833,299.85,0.0,0.3,60.392075,299.85,0.0,0.2625,200.56935,200.56935,0.0,70.94715,364.5637,0.0,0.0,0
76,19188240.0,55.7659,62.665916,55.002403,55.002403,55.002403,69.50161,69.50161,108.99128,55.766228,55.002403,1.0,0.0,64.415215,299.85,0.0,0.3,64.121994,299.85,0.0,0.3,60.671295,299.85,0.0,0.2625,199.6967,199.6967,0.0,70.94714,364.56366,0.0,0.0,0
78,19188300.0,55.772766,62.55265,55.0046,55.0046,55.0046,69.50161,69.50161,108.99129,55.773205,55.0046,1.0,0.0,64.33562,299.85,0.0,0.3,64.04239,299.85,0.0,0.3,60.48722,299.85,0.0,0.2625,199.55661,199.55661,0.0,70.94714,364.56366,0.0,0.0,0
