Minutes	datetime	"Control_Status
1 - off
2 - cool
3 - heat"	"System_Mode
1 - off
2 - auto
3 - cool
4 - heat"	"Reversing_Valve_Status
0 - heating
1 - cooling"	Room_Temperature [F]	Ebtron_Return_Air_Temp [F]	Ebtron_Supply_Air_Temp [F]	Outside_Air_Temp [F]	Ebtron_Supply_Airflow [CFM]	Ebtron_Return_Airflow [CFM]	PRB-ActivePower28 [W]	PRB-ActivePower42 [W]	Total Power [W]	Stage_01_Output	Stage_02_Output	Default_Heating_Setpoint [F]	Heating_Setpoint_Limit [F]
0	44599.85	3	4	0	73.7	74.13	71.46	59.6	733.8	571.4	89.20984712	77.14778094	166.3576281	0	0	72	90
1	44599.85	3	4	0	73.6	74.08	71.35	59.1	748.7	565.9	88.76923212	77.24857583	166.017808	0	0	72	90
2	44599.85	3	4	0	73.5	74.03	71.28	59	740.5	559.8	89.11492193	77.18845703	166.303379	0	0	72	90
3	44599.85	3	4	0	73.5	73.98	71.21	59.2	741.7	563.3	89.05616097	77.20048433	166.2566453	0	0	72	90
4	44599.85	3	4	0	73.4	73.94	71.18	59	735.4	563.2	320.032052	286.6837676	606.7158195	0	0	72	90
5	44599.85	3	4	0	73.4	73.91	71.09	58.7	738.3	561.6	671.58709	629.9970932	1301.584183	0	0	72	90
6	44599.85	3	4	0	73.3	73.87	75.23	59.3	715.2	559.4	724.0694651	675.0793757	1399.148841	1	0	72	90
7	44599.85	3	4	0	73.2	73.9	83.28	59.5	673.4	552.4	686.060878	638.328681	1324.389559	1	0	72	90
8	44599.85	3	4	0	73.2	74.19	86.8	59.2	671.3	551.8	87.82284809	75.62756589	163.450414	1	0	72	90
9	44599.86	3	4	0	72.9	74.83	89.5	59.8	674.4	542	88.59746662	76.48957247	165.0870391	1	0	72	90
10	44599.86	3	4	0	73	75.59	82.33	60.5	737.5	555.2	88.70553774	76.71280072	165.4183385	0	0	72	90
11	44599.86	3	4	0	73	75.8	79.65	60.8	757.7	560.5	88.65801616	76.58807967	165.2460958	0	0	72	90
12	44599.86	3	4	0	73.2	75.76	78.02	60.9	755.3	556.2	88.81833747	76.89212649	165.710464	0	0	72	90
13	44599.86	3	4	0	73.4	75.65	76.85	60.8	763.5	564.6	88.75029639	76.91795629	165.6682527	0	0	72	90
14	44599.86	3	4	0	73.7	75.53	75.95	60.5	760	568.1	88.63138282	77.26186578	165.8932486	0	0	72	90
15	44599.86	3	4	0	73.8	75.39	75.16	60.4	760.9	567.4	88.54010923	76.89818151	165.4382907	0	0	72	90
16	44599.86	3	4	0	73.8	75.24	74.56	60.8	752.7	568.4	89.11957407	77.22552976	166.3451038	0	0	72	90
17	44599.86	3	4	0	73.9	75.12	74.03	60.6	749.2	570.9	89.08922587	77.21987238	166.3090983	0	0	72	90
18	44599.86	3	4	0	73.9	75	73.56	59.9	748.7	567.4	89.08956622	77.00060061	166.0901668	0	0	72	90
19	44599.86	3	4	0	73.9	74.84	73.17	59.8	742.2	566.6	88.96011056	77.18498473	166.1450953	0	0	72	90
20	44599.86	3	4	0	73.9	74.75	72.89	60.1	749.8	565.7	89.17084418	77.03322563	166.2040698	0	0	72	90
21	44599.86	3	4	0	73.9	74.66	72.61	59.6	748.2	566.9	441.5019267	413.7823351	855.2842617	0	0	72	90
22	44599.86	3	4	0	73.9	74.55	72.33	59	740.7	569.9	693.8807567	649.884906	1343.765663	0	0	72	90
23	44599.87	3	4	0	73.8	74.49	77.73	58.6	693	555.7	739.421048	687.952212	1427.37326	1	0	72	90
24	44599.87	3	4	0	73.8	74.5	85.34	58.4	676	548.9	416.9307271	385.1121373	802.0428644	1	0	72	90
25	44599.87	3	4	0	73.6	74.92	88.63	58.4	670.6	549.7	88.43715158	76.00795013	164.4451017	1	0	72	90
26	44599.87	3	4	0	73.6	75.52	86.68	58.5	705.4	545.2	88.57717419	76.50634683	165.083521	0	0	72	90
27	44599.87	3	4	0	73.6	76.09	81.28	58.9	750.4	553.9	88.52398956	76.57594113	165.0999307	0	0	72	90
28	44599.87	3	4	0	73.5	76.12	79.04	59.4	769.5	559.1	88.99785296	76.84589092	165.8437439	0	0	72	90
29	44599.87	3	4	0	73.6	76.06	77.59	59.6	759.5	565.6	88.79168214	76.84915513	165.6408373	0	0	72	90
30	44599.87	3	4	0	73.9	75.9	76.58	59.8	769.5	567.5	89.06246723	76.78202853	165.8444958	0	0	72	90
