Minutes,datetime,"Control_Status
1 - off
2 - cool
3 - heat","System_Mode
1 - off
2 - auto
3 - cool
4 - heat","Reversing_Valve_Status
0 - heating
1 - cooling",Room_Temperature [F],Ebtron_Return_Air_Temp [F],Ebtron_Supply_Air_Temp [F],Outside_Air_Temp [F],Ebtron_Supply_Airflow [CFM],Ebtron_Return_Airflow [CFM],PRB-ActivePower28 [W],PRB-ActivePower42 [W],Total Power [W]
0,44261.23,3,2,0,66.7,65.36,61.15,46.1,129.45,122.57,47.3823631,30.18134493,77.56370802
1,44261.23,3,2,0,66.5,65.32,61.09,45.2,157.9,125.23,46.671954,29.68269588,76.35464988
2,44261.23,3,2,0,66.3,65.39,60.91,44.5,158.73,142.42,46.85256505,30.54321972,77.39578477
3,44261.23,3,2,0,66.2,65.32,60.76,43.8,162.39,125.13,46.85480319,30.18392453,77.03872772
4,44261.23,3,2,0,66.1,65.4,60.56,43.1,192.67,149.84,47.64734166,30.62142748,78.26876913
5,44261.23,3,2,0,66.1,65.46,60.41,42.8,187.77,157.56,48.85678861,31.94548354,80.80227215
6,44261.24,3,2,0,66.1,65.49,60.37,42.3,221.41,165.6,48.94607838,31.92830227,80.87438066
7,44261.24,3,2,0,66.1,65.55,60.13,42.1,227.38,169.18,49.33954499,32.70707932,82.04662431
8,44261.24,3,2,0,66.1,65.63,60,41.8,254.11,184.93,49.50812086,32.35552316,81.86364402
9,44261.24,3,2,0,66,65.63,59.87,41.7,257.3,181.4,50.65840318,33.56565236,84.22405554
10,44261.24,3,2,0,66,65.71,59.77,41.6,287.41,210.36,51.15210991,34.33893254,85.49104245
11,44261.24,3,2,0,66,65.74,59.81,41.7,294.49,220.74,52.54866004,35.46571618,88.01437622
12,44261.24,3,2,0,65.9,65.84,59.88,41.8,316.57,231.74,52.60459338,34.87333839,87.47793177
13,44261.24,3,2,0,65.9,65.85,59.85,41.7,323.47,237.68,52.38910465,35.62008313,88.00918778
14,44261.24,3,2,0,65.9,65.88,59.8,41.8,322.88,237.11,52.85551563,35.72143858,88.57695422
15,44261.24,3,2,0,65.9,65.89,59.85,41.9,337.93,252.87,52.13662478,35.96462518,88.10124997
16,44261.24,3,2,0,66,65.9,59.94,41.9,339.7,254.56,53.16843125,35.93918652,89.10761777
17,44261.24,3,2,0,66,65.92,59.96,41.8,337.93,255.28,52.30038879,35.75697093,88.05735972
18,44261.24,3,2,0,66,65.91,60.02,41.9,342.3,258.81,51.89008484,36.11129604,88.00138088
19,44261.24,3,2,0,66,65.91,60.07,42,332.09,259.16,52.57642888,35.69095467,88.26738356
20,44261.25,3,2,0,66,65.89,60.1,42,331.68,258.45,52.85807571,36.0821864,88.94026211
21,44261.25,3,2,0,66,65.9,60.1,41.9,342.77,254.92,52.6633974,35.60609868,88.26949608
22,44261.25,3,2,0,65.9,65.88,60.12,41.8,338.7,256.45,53.13595016,35.32095204,88.4569022
23,44261.25,3,2,0,65.9,65.88,60.12,41.8,335.16,257.27,52.78312727,35.50619566,88.28932293
24,44261.25,3,2,0,65.9,65.87,60.13,41.7,336.52,260.08,52.62264651,35.66590514,88.28855165
25,44261.25,3,2,0,65.9,65.86,60.15,41.9,333.15,265.61,52.47770163,35.31916493,87.79686656
26,44261.25,3,2,0,65.9,65.87,60.24,42.1,340.77,261.77,53.06932493,36.04988739,89.11921232
27,44261.25,3,2,0,65.9,65.85,60.21,42.1,335.99,261.87,52.89779652,35.65958688,88.5573834
28,44261.25,3,2,0,65.8,65.85,60.23,42.2,334.86,261.82,52.85921731,35.76252497,88.62174227
29,44261.25,3,2,0,65.8,65.81,60.23,42.2,336.34,258.4,52.2594072,35.85782559,88.11723279
30,44261.25,3,2,0,65.8,65.8,60.23,42.3,336.81,254.05,52.82520369,36.0756722,88.90087589
31,44261.25,3,2,0,65.7,65.79,60.15,42.2,338.35,258.81,52.97796874,35.67215507,88.65012382
32,44261.25,3,2,0,65.6,65.77,60.16,42.2,342.72,254.82,52.50674262,35.16357238,87.67031501
33,44261.25,3,2,0,65.6,65.76,60.12,42.3,335.75,257.53,52.92716357,36.60111097,89.52827453
34,44261.25,3,2,0,65.7,65.74,60.13,42.3,336.81,256.2,53.48319677,36.25713683,89.74033359
35,44261.26,3,2,0,65.6,65.76,60.11,42.2,337.64,258.81,52.35789779,35.40621098,87.76410877
36,44261.26,3,2,0,65.6,65.75,60.09,42.2,334.04,256.86,52.49961007,35.54855636,88.04816643
37,44261.26,3,2,0,65.6,65.77,60.09,42,342.6,257.99,52.86767462,36.26009935,89.12777397
38,44261.26,3,2,0,65.6,65.78,60.06,41.8,342.48,258.6,53.05076446,36.31313237,89.36389683
39,44261.26,3,2,0,65.6,65.78,60.05,41.6,332.33,256.55,53.04677263,36.64928004,89.69605267
40,44261.26,3,2,0,65.6,65.81,60.04,41.6,329.85,253.95,52.67465412,35.87663268,88.55128681
41,44261.26,3,2,0,65.6,65.81,60.04,41.6,335.16,255.28,52.07393155,35.81534706,87.88927861
42,44261.26,3,2,0,65.6,65.81,60.02,41.4,337.28,256.15,52.77277535,36.47633764,89.24911299
43,44261.26,3,2,0,65.5,65.8,59.98,41.2,340.3,257.22,53.26255875,36.55403357,89.81659232
44,44261.26,3,2,0,65.5,65.81,59.92,41.2,341.89,254.41,52.91756078,35.61022572,88.5277865
45,44261.26,3,2,0,65.5,65.81,59.92,41.3,340.35,256.5,52.55892057,35.94631058,88.50523115
46,44261.26,3,2,0,65.2,65.79,59.88,41.2,341.71,254.56,53.55042961,35.83945251,89.38988212
47,44261.26,3,2,0,65.4,65.81,59.86,41.2,336.16,254.15,52.61727038,36.18160291,88.79887328
48,44261.26,3,2,0,65.4,65.8,59.87,41,336.22,252.36,52.47683508,36.32152138,88.79835645
49,44261.27,3,2,0,65.4,65.85,59.82,41.1,338.76,254.71,52.07277147,36.23245346,88.30522492
50,44261.27,3,2,0,65.4,65.83,59.82,41.1,329.85,254.41,51.90136587,35.83589362,87.73725949
51,44261.27,3,2,0,65.4,65.83,59.8,40.9,337.23,256.5,52.07560627,35.9778327,88.05343897
52,44261.27,3,2,0,65.2,65.82,59.81,40.9,335.93,253.84,52.14898295,35.97089992,88.11988287
53,44261.27,3,2,0,65.2,65.85,59.82,41,337.64,254.82,52.41286174,35.87357128,88.28643302
54,44261.27,3,2,0,65.3,65.85,59.81,41,331.91,259.83,52.57959015,35.86404346,88.44363361
55,44261.27,3,2,0,65.3,65.86,59.82,41,335.34,255.84,52.89154458,36.17206831,89.06361289
56,44261.27,3,2,0,65.3,65.85,59.8,41,335.16,255.07,51.92730228,35.49149567,87.41879795
